Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,September 2018,$685K,-4.4%,3.8%,"1,999",-24.7%,-16.7%,"3,073",-4.3%,5.7%,"7,776",6.8%,14.6%,38,2,-2,99.8%,-0.4%,-0.3%
,October 2018,$700K,2.2%,6.9%,"2,224",11.3%,-8.0%,"3,030",-1.4%,4.8%,"7,880",1.3%,20.4%,41,3,3,99.4%,-0.4%,-0.7%
,November 2018,$699K,-0.2%,5.0%,"1,938",-12.9%,-16.6%,"2,401",-20.8%,7.5%,"7,640",-3.0%,29.4%,41,0,3,99.4%,0.0%,-0.9%
,December 2018,$690K,-1.2%,4.5%,"1,885",-2.7%,-18.1%,"1,295",-46.1%,-3.1%,"6,440",-15.7%,35.3%,46,5,4,99.0%,-0.5%,-1.1%
,January 2019,$670K,-2.9%,4.8%,"1,466",-22.2%,-16.8%,"2,725",110.4%,0.2%,"7,028",9.1%,34.4%,53,7,8,98.5%,-0.5%,-1.5%
,February 2019,$665K,-0.7%,-3.6%,"1,488",1.5%,-10.5%,"2,449",-10.1%,-12.3%,"7,411",5.4%,34.0%,56,3,16,98.7%,0.2%,-1.8%
,March 2019,$720K,8.3%,5.1%,"1,969",32.3%,-17.5%,"3,073",25.5%,-1.4%,"7,761",4.7%,34.6%,54,-2,20,99.0%,0.3%,-1.8%
,April 2019,$728K,1.1%,4.0%,"2,319",17.8%,0.1%,"3,147",2.4%,-7.7%,"7,894",1.7%,25.2%,49,-5,16,99.4%,0.4%,-1.5%
,May 2019,$724K,-0.6%,2.0%,"2,436",5.0%,-2.8%,"3,389",7.7%,-1.9%,"8,235",4.3%,24.5%,47,-2,16,99.8%,0.4%,-1.0%
,June 2019,$749K,3.5%,2.6%,"2,302",-5.5%,-12.8%,"3,095",-8.7%,-5.9%,"8,373",1.7%,21.9%,48,1,15,99.7%,-0.1%,-1.0%
,July 2019,$749K,0.0%,7.0%,"2,429",5.5%,-0.8%,"3,119",0.8%,-5.6%,"8,294",-0.9%,16.0%,48,0,14,99.5%,-0.2%,-0.7%
,August 2019,$730K,-2.5%,1.9%,"2,476",1.9%,-6.7%,"2,899",-7.1%,-9.7%,"7,964",-4.0%,9.4%,50,2,14,99.3%,-0.2%,-1.0%
,September 2019,$738K,1.1%,7.7%,"2,229",-10.0%,11.5%,"2,880",-0.7%,-6.3%,"7,947",-0.2%,2.2%,51,1,13,99.5%,0.2%,-0.3%
,October 2019,$740K,0.3%,5.7%,"2,338",4.9%,5.1%,"2,812",-2.4%,-7.2%,"7,722",-2.8%,-2.0%,51,0,10,99.5%,0.0%,0.1%
,November 2019,$755K,2.0%,8.1%,"2,020",-13.6%,4.2%,"1,894",-32.6%,-21.1%,"6,949",-10.0%,-9.0%,51,0,10,99.6%,0.1%,0.2%
,December 2019,$755K,0.0%,9.4%,"2,154",6.6%,14.3%,"1,286",-32.1%,-0.7%,"5,404",-22.2%,-16.1%,56,5,10,99.2%,-0.4%,0.3%
,January 2020,$739K,-2.1%,10.3%,"1,750",-18.8%,19.4%,"2,598",102.0%,-4.7%,"5,768",6.7%,-17.9%,63,7,10,99.0%,-0.2%,0.6%
,February 2020,$750K,1.5%,12.8%,"1,665",-4.9%,11.9%,"2,634",1.4%,7.6%,"6,077",5.4%,-18.0%,52,-11,-4,99.8%,0.8%,1.1%
,March 2020,$775K,3.3%,7.6%,"1,951",17.2%,-0.9%,"2,389",-9.3%,-22.3%,"6,013",-1.1%,-22.5%,44,-8,-10,100.4%,0.6%,1.4%
,April 2020,$730K,-5.8%,0.2%,"1,268",-35.0%,-45.3%,"1,642",-31.3%,-47.8%,"5,995",-0.3%,-24.1%,42,-2,-7,100.0%,-0.3%,0.6%
,May 2020,$750K,2.7%,3.5%,"1,086",-14.4%,-55.4%,"2,558",55.8%,-24.5%,"6,698",11.7%,-18.7%,49,7,2,99.0%,-1.0%,-0.8%
,June 2020,$750K,0.1%,0.1%,"1,644",51.4%,-28.6%,"2,995",17.1%,-3.2%,"7,220",7.8%,-13.8%,48,-1,0,99.0%,0.0%,-0.7%
,July 2020,$810K,8.0%,8.1%,"2,266",37.8%,-6.7%,"3,458",15.5%,10.9%,"7,532",4.3%,-9.2%,45,-3,-3,99.8%,0.7%,0.3%
,August 2020,$825K,1.9%,13.0%,"2,314",2.1%,-6.5%,"3,405",-1.5%,17.5%,"7,785",3.4%,-2.2%,45,0,-5,100.1%,0.3%,0.7%
,September 2020,$840K,1.8%,13.8%,"2,558",10.5%,14.8%,"3,585",5.3%,24.5%,"8,113",4.2%,2.1%,43,-2,-8,100.6%,0.5%,1.1%
,October 2020,$860K,2.4%,16.2%,"2,622",2.5%,12.1%,"3,595",0.3%,27.8%,"8,325",2.6%,7.8%,42,-1,-9,100.8%,0.3%,1.3%
,November 2020,$830K,-3.5%,9.9%,"2,276",-13.2%,12.7%,"2,444",-32.0%,29.0%,"7,653",-8.1%,10.1%,43,1,-8,100.8%,0.0%,1.2%
,December 2020,$836K,0.7%,10.7%,"2,734",20.1%,26.9%,"1,880",-23.1%,46.2%,"6,331",-17.3%,17.2%,48,5,-8,100.6%,-0.3%,1.3%
,January 2021,$825K,-1.3%,11.6%,"2,021",-26.1%,15.5%,"2,688",43.0%,3.5%,"6,287",-0.7%,9.0%,50,2,-13,100.4%,-0.1%,1.4%
,February 2021,$847K,2.7%,12.9%,"2,093",3.6%,25.7%,"2,896",7.7%,9.9%,"6,273",-0.2%,3.2%,50,0,-2,100.7%,0.3%,0.9%
,March 2021,$885K,4.5%,14.2%,"2,860",36.6%,46.6%,"3,475",20.0%,45.5%,"6,290",0.3%,4.6%,40,-10,-4,101.7%,1.0%,1.3%
,April 2021,$900K,1.7%,23.3%,"2,932",2.5%,131.2%,"3,365",-3.2%,104.9%,"6,294",0.1%,5.0%,38,-2,-4,102.7%,1.0%,2.7%
,May 2021,$920K,2.2%,22.7%,"2,744",-6.4%,152.7%,"3,413",1.4%,33.4%,"6,461",2.7%,-3.5%,37,-1,-12,103.2%,0.5%,4.2%
,June 2021,$937K,1.8%,24.9%,"3,053",11.3%,85.7%,"3,556",4.2%,18.7%,"6,448",-0.2%,-10.7%,35,-2,-13,103.6%,0.4%,4.6%
,July 2021,$920K,-1.8%,13.6%,"2,830",-7.3%,24.9%,"3,453",-2.9%,-0.1%,"6,530",1.3%,-13.3%,36,1,-9,103.3%,-0.4%,3.5%
,August 2021,$917K,-0.3%,11.2%,"2,624",-7.3%,13.4%,"3,077",-10.9%,-9.6%,"6,010",-8.0%,-22.8%,38,2,-7,103.1%,-0.2%,3.0%
"Los Angeles, CA - Bel Air",January 2014,"$2,112K",-11.8%,10.1%,38,-24.0%,8.6%,32,-20.0%,3.2%,54,8.0%,-6.9%,74,2,-13,98.1%,1.3%,5.9%
,February 2014,"$1,662K",-21.3%,-24.5%,31,-18.4%,0.0%,38,18.8%,-13.6%,56,3.7%,-1.8%,69,-6,-34,98.2%,0.1%,6.5%
,March 2014,"$1,980K",19.1%,38.0%,31,0.0%,10.7%,50,31.6%,-7.4%,62,10.7%,14.8%,101,33,70,96.7%,-1.5%,1.6%
,April 2014,"$2,025K",2.3%,29.0%,23,-25.8%,-41.0%,56,12.0%,-16.4%,67,8.1%,15.5%,119,18,96,95.0%,-1.7%,-2.9%
,May 2014,"$2,982K",47.3%,60.3%,32,39.1%,-23.8%,56,0.0%,-9.7%,61,-9.0%,27.1%,55,-64,37,96.6%,1.6%,-3.1%
,June 2014,"$2,857K",-4.2%,20.9%,26,-18.8%,-43.5%,69,23.2%,-2.8%,72,18.0%,18.0%,45,-11,26,98.6%,2.0%,0.4%
,July 2014,"$2,100K",-26.5%,-16.0%,35,34.6%,-14.6%,74,7.2%,-7.5%,81,12.5%,14.1%,28,-17,-4,99.0%,0.3%,2.2%
,August 2014,"$1,985K",-5.5%,-20.6%,31,-11.4%,-20.5%,67,-9.5%,-16.3%,72,-11.1%,4.3%,48,20,15,98.5%,-0.5%,2.8%
,September 2014,"$1,966K",-0.9%,5.4%,32,3.2%,-8.6%,55,-17.9%,-21.4%,78,8.3%,8.3%,43,-5,12,96.5%,-2.0%,1.7%
,October 2014,"$2,056K",4.6%,-10.9%,28,-12.5%,-34.9%,52,-5.5%,-10.3%,72,-7.7%,9.1%,53,10,7,96.1%,-0.3%,1.4%
,November 2014,"$2,128K",3.5%,-12.3%,29,3.6%,-39.6%,51,-1.9%,-3.8%,62,-13.9%,-1.6%,70,17,14,96.3%,0.1%,1.5%
,December 2014,"$1,855K",-12.8%,-22.5%,30,3.4%,-40.0%,45,-11.8%,12.5%,59,-4.8%,18.0%,69,-1,-3,96.8%,0.5%,0.0%
,January 2015,"$2,161K",16.5%,2.3%,37,23.3%,-2.6%,37,-17.8%,15.6%,55,-6.8%,1.9%,71,2,-3,96.9%,0.1%,-1.2%
,February 2015,"$2,161K",0.0%,30.0%,35,-5.4%,12.9%,43,16.2%,13.2%,57,3.6%,1.8%,71,0,3,96.7%,-0.1%,-1.5%
,March 2015,"$2,378K",10.0%,20.1%,44,25.7%,41.9%,49,14.0%,-2.0%,59,3.5%,-4.8%,108,37,7,96.4%,-0.3%,-0.3%
,April 2015,"$2,218K",-6.7%,9.5%,38,-13.6%,65.2%,55,12.2%,-1.8%,64,8.5%,-4.5%,57,-51,-62,96.5%,0.1%,1.5%
,May 2015,"$2,360K",6.4%,-20.9%,41,7.9%,28.1%,62,12.7%,10.7%,68,6.3%,11.5%,52,-5,-3,96.8%,0.3%,0.1%
,June 2015,"$2,475K",4.9%,-13.4%,37,-9.8%,42.3%,67,8.1%,-2.9%,71,4.4%,-1.4%,33,-20,-12,97.2%,0.4%,-1.5%
,July 2015,"$2,418K",-2.3%,15.1%,44,18.9%,25.7%,64,-4.5%,-13.5%,60,-15.5%,-25.9%,34,2,6,98.5%,1.3%,-0.5%
,August 2015,"$2,396K",-0.9%,20.7%,40,-9.1%,29.0%,58,-9.4%,-13.4%,62,3.3%,-13.9%,34,0,-14,98.7%,0.2%,0.2%
,September 2015,"$2,248K",-6.2%,14.3%,38,-5.0%,18.8%,56,-3.4%,1.8%,68,9.7%,-12.8%,58,24,15,98.6%,-0.1%,2.1%
,October 2015,"$2,256K",0.4%,9.7%,34,-10.5%,21.4%,52,-7.1%,0.0%,67,-1.5%,-6.9%,62,5,9,96.5%,-2.1%,0.3%
,November 2015,"$2,334K",3.4%,9.7%,26,-23.5%,-10.3%,48,-7.7%,-5.9%,59,-11.9%,-4.8%,72,10,2,95.7%,-0.8%,-0.6%
,December 2015,"$2,199K",-5.8%,18.5%,24,-7.7%,-20.0%,29,-39.6%,-35.6%,48,-18.6%,-18.6%,78,6,9,94.4%,-1.3%,-2.4%
,January 2016,"$2,250K",2.3%,4.1%,21,-12.5%,-43.2%,35,20.7%,-5.4%,54,12.5%,-1.8%,55,-23,-16,92.3%,-2.1%,-4.6%
,February 2016,"$2,250K",0.0%,4.1%,25,19.0%,-28.6%,48,37.1%,11.6%,64,18.5%,12.3%,55,0,-16,94.0%,1.7%,-2.8%
,March 2016,"$2,288K",1.7%,-3.8%,20,-20.0%,-54.5%,73,52.1%,49.0%,74,15.6%,25.4%,49,-7,-60,96.2%,2.2%,-0.2%
,April 2016,"$2,493K",9.0%,12.4%,26,30.0%,-31.6%,85,16.4%,54.5%,78,5.4%,21.9%,36,-13,-21,98.2%,2.0%,1.7%
,May 2016,"$2,120K",-15.0%,-10.2%,39,50.0%,-4.9%,85,0.0%,37.1%,88,12.8%,29.4%,46,10,-6,96.9%,-1.3%,0.1%
,June 2016,"$2,050K",-3.3%,-17.2%,47,20.5%,27.0%,78,-8.2%,16.4%,87,-1.1%,22.5%,48,2,16,96.0%,-0.9%,-1.2%
,July 2016,"$2,120K",3.4%,-12.3%,47,0.0%,6.8%,62,-20.5%,-3.1%,82,-5.7%,36.7%,46,-2,12,95.8%,-0.2%,-2.7%
,August 2016,"$2,405K",13.4%,0.4%,40,-14.9%,0.0%,59,-4.8%,1.7%,85,3.7%,37.1%,47,1,13,95.6%,-0.2%,-3.1%
,September 2016,"$2,360K",-1.9%,5.0%,37,-7.5%,-2.6%,58,-1.7%,3.6%,82,-3.5%,20.6%,48,1,-10,95.3%,-0.3%,-3.3%
,October 2016,"$1,777K",-24.7%,-21.2%,35,-5.4%,2.9%,63,8.6%,21.2%,82,0.0%,22.4%,63,15,1,95.3%,0.0%,-1.2%
,November 2016,"$1,768K",-0.5%,-24.3%,37,5.7%,42.3%,61,-3.2%,27.1%,87,6.1%,47.5%,63,0,-10,94.8%,-0.4%,-0.9%
,December 2016,"$1,500K",-15.1%,-31.8%,33,-10.8%,37.5%,49,-19.7%,69.0%,76,-12.6%,58.3%,67,4,-12,94.4%,-0.4%,0.0%
,January 2017,"$1,764K",17.6%,-21.6%,26,-21.2%,23.8%,44,-10.2%,25.7%,69,-9.2%,27.8%,62,-5,7,94.4%,0.0%,2.1%
,February 2017,"$1,928K",9.3%,-14.3%,21,-19.2%,-16.0%,40,-9.1%,-16.7%,72,4.3%,12.5%,59,-3,4,94.5%,0.1%,0.6%
,March 2017,"$2,350K",21.9%,2.7%,27,28.6%,35.0%,58,45.0%,-20.5%,80,11.1%,8.1%,73,14,25,96.1%,1.6%,-0.1%
,April 2017,"$2,195K",-6.6%,-12.0%,32,18.5%,23.1%,73,25.9%,-14.1%,89,11.3%,14.1%,76,3,40,96.8%,0.7%,-1.4%
,May 2017,"$2,195K",0.0%,3.5%,36,12.5%,-7.7%,84,15.1%,-1.2%,94,5.6%,6.8%,53,-23,7,96.7%,-0.1%,-0.2%
,June 2017,"$2,280K",3.9%,11.2%,43,19.4%,-8.5%,88,4.8%,12.8%,106,12.8%,21.8%,47,-6,-1,97.3%,0.7%,1.3%
,July 2017,"$2,485K",9.0%,17.2%,44,2.3%,-6.4%,81,-8.0%,30.6%,104,-1.9%,26.8%,44,-4,-3,97.2%,-0.2%,1.4%
,August 2017,"$2,175K",-12.5%,-9.6%,46,4.5%,15.0%,74,-8.6%,25.4%,99,-4.8%,16.5%,48,5,1,97.4%,0.2%,1.8%
,September 2017,"$2,215K",1.8%,-6.1%,45,-2.2%,21.6%,61,-17.6%,5.2%,92,-7.1%,12.2%,57,9,9,97.0%,-0.4%,1.7%
,October 2017,"$2,258K",1.9%,27.0%,52,15.6%,48.6%,62,1.6%,-1.6%,93,1.1%,13.4%,53,-4,-10,97.4%,0.4%,2.1%
,November 2017,"$2,438K",8.0%,37.9%,48,-7.7%,29.7%,55,-11.3%,-9.8%,87,-6.5%,0.0%,58,5,-5,98.1%,0.7%,3.3%
,December 2017,"$2,638K",8.2%,75.8%,42,-12.5%,27.3%,43,-21.8%,-12.2%,74,-14.9%,-2.6%,52,-6,-15,98.4%,0.3%,4.0%
,January 2018,"$3,725K",41.2%,111.2%,27,-35.7%,3.8%,36,-16.3%,-18.2%,74,0.0%,7.2%,77,25,16,96.9%,-1.5%,2.5%
,February 2018,"$3,127K",-16.1%,62.2%,24,-11.1%,14.3%,40,11.1%,0.0%,79,6.8%,9.7%,55,-22,-4,95.1%,-1.8%,0.6%
,March 2018,"$2,670K",-14.6%,13.6%,23,-4.2%,-14.8%,63,57.5%,8.6%,88,11.4%,10.0%,78,23,5,92.4%,-2.8%,-3.7%
,April 2018,"$2,610K",-2.2%,18.9%,28,21.7%,-12.5%,73,15.9%,0.0%,100,13.6%,12.4%,84,6,8,95.6%,3.3%,-1.1%
,May 2018,"$2,821K",8.1%,28.6%,34,21.4%,-5.6%,75,2.7%,-10.7%,99,-1.0%,5.3%,76,-8,24,96.2%,0.6%,-0.5%
,June 2018,"$2,460K",-12.8%,7.9%,33,-2.9%,-23.3%,79,5.3%,-10.2%,116,17.2%,9.4%,51,-25,4,97.3%,1.1%,0.0%
,July 2018,"$2,150K",-12.6%,-13.5%,33,0.0%,-25.0%,80,1.3%,-1.2%,126,8.6%,21.2%,49,-2,6,95.8%,-1.5%,-1.3%
,August 2018,"$1,950K",-9.3%,-10.3%,29,-12.1%,-37.0%,71,-11.3%,-4.1%,109,-13.5%,10.1%,81,32,33,95.7%,-0.1%,-1.7%
,September 2018,"$2,993K",53.5%,35.1%,28,-3.4%,-37.8%,61,-14.1%,0.0%,111,1.8%,20.7%,75,-6,18,95.5%,-0.1%,-1.5%
,October 2018,"$3,150K",5.3%,39.5%,33,17.9%,-36.5%,59,-3.3%,-4.8%,105,-5.4%,12.9%,76,1,23,95.5%,-0.1%,-1.9%
,November 2018,"$2,985K",-5.2%,22.5%,39,18.2%,-18.8%,60,1.7%,9.1%,87,-17.1%,0.0%,53,-23,-5,94.9%,-0.5%,-3.1%
,December 2018,"$2,645K",-11.4%,0.3%,38,-2.6%,-9.5%,45,-25.0%,4.7%,69,-20.7%,-6.8%,82,29,30,94.5%,-0.5%,-3.9%
,January 2019,"$2,735K",3.4%,-26.6%,33,-13.2%,22.2%,41,-8.9%,13.9%,79,14.5%,6.8%,106,24,29,92.8%,-1.7%,-4.1%
,February 2019,"$2,000K",-26.9%,-36.0%,25,-24.2%,4.2%,56,36.6%,40.0%,96,21.5%,21.5%,117,11,62,94.4%,1.6%,-0.7%
,March 2019,"$1,710K",-14.5%,-36.0%,23,-8.0%,0.0%,78,39.3%,23.8%,109,13.5%,23.9%,101,-16,23,95.6%,1.2%,3.2%
,April 2019,"$1,800K",5.3%,-31.0%,29,26.1%,3.6%,89,14.1%,21.9%,114,4.6%,14.0%,61,-40,-23,96.9%,1.3%,1.2%
,May 2019,"$2,200K",22.2%,-22.0%,39,34.5%,14.7%,84,-5.6%,12.0%,105,-7.9%,6.1%,81,20,5,94.7%,-2.2%,-1.5%
,June 2019,"$2,550K",15.9%,3.7%,51,30.8%,54.5%,71,-15.5%,-10.1%,99,-5.7%,-14.7%,71,-10,20,93.2%,-1.5%,-4.1%
,July 2019,"$2,500K",-2.0%,16.3%,47,-7.8%,42.4%,66,-7.0%,-17.5%,102,3.0%,-19.0%,82,11,33,93.1%,-0.1%,-2.7%
,August 2019,"$2,558K",2.3%,31.2%,44,-6.4%,51.7%,60,-9.1%,-15.5%,101,-1.0%,-7.3%,70,-12,-11,93.6%,0.4%,-2.1%
,September 2019,"$2,500K",-2.2%,-16.5%,41,-6.8%,46.4%,65,8.3%,6.6%,99,-2.0%,-10.8%,85,15,10,95.2%,1.6%,-0.4%
,October 2019,"$3,066K",22.6%,-2.7%,45,9.8%,36.4%,67,3.1%,13.6%,104,5.1%,-1.0%,86,1,10,95.2%,0.0%,-0.3%
,November 2019,"$3,033K",-1.1%,1.6%,44,-2.2%,12.8%,68,1.5%,13.3%,93,-10.6%,6.9%,86,0,33,95.9%,0.8%,1.0%
,December 2019,"$3,130K",3.2%,18.3%,40,-9.1%,5.3%,51,-25.0%,13.3%,80,-14.0%,15.9%,83,-3,1,96.3%,0.4%,1.8%
,January 2020,"$2,400K",-23.3%,-12.2%,35,-12.5%,6.1%,49,-3.9%,19.5%,86,7.5%,8.9%,90,7,-17,96.8%,0.5%,4.0%
,February 2020,"$2,568K",7.0%,28.4%,28,-20.0%,12.0%,52,6.1%,-7.1%,91,5.8%,-5.2%,99,10,-18,96.3%,-0.5%,1.9%
,March 2020,"$2,243K",-12.7%,31.1%,24,-14.3%,4.3%,64,23.1%,-17.9%,85,-6.6%,-22.0%,126,27,25,96.1%,-0.2%,0.5%
,April 2020,"$2,834K",26.4%,57.4%,22,-8.3%,-24.1%,52,-18.8%,-41.6%,80,-5.9%,-29.8%,98,-28,37,92.4%,-3.7%,-4.4%
,May 2020,"$2,800K",-1.2%,27.3%,19,-13.6%,-51.3%,56,7.7%,-33.3%,89,11.3%,-15.2%,90,-8,9,90.7%,-1.7%,-4.0%
,June 2020,"$2,650K",-5.4%,3.9%,19,0.0%,-62.7%,67,19.6%,-5.6%,97,9.0%,-2.0%,72,-18,1,92.0%,1.3%,-1.2%
,July 2020,"$2,333K",-12.0%,-6.7%,27,42.1%,-42.6%,81,20.9%,22.7%,93,-4.1%,-8.8%,70,-2,-12,95.5%,3.6%,2.4%
,August 2020,"$2,341K",0.4%,-8.5%,40,48.1%,-9.1%,90,11.1%,50.0%,109,17.2%,7.9%,61,-9,-9,95.7%,0.1%,2.1%
,September 2020,"$2,390K",2.1%,-4.4%,48,20.0%,17.1%,90,0.0%,38.5%,119,9.2%,20.2%,60,-1,-25,96.1%,0.4%,0.9%
,October 2020,"$2,525K",5.6%,-17.6%,46,-4.2%,2.2%,86,-4.4%,28.4%,114,-4.2%,9.6%,53,-8,-34,96.8%,0.7%,1.6%
,November 2020,"$3,200K",26.7%,5.5%,43,-6.5%,-2.3%,69,-19.8%,1.5%,102,-10.5%,9.7%,58,6,-28,96.5%,-0.3%,0.6%
,December 2020,"$2,825K",-11.7%,-9.7%,50,16.3%,25.0%,59,-14.5%,15.7%,89,-12.7%,11.3%,81,23,-2,95.8%,-0.8%,-0.5%
,January 2021,"$2,610K",-7.6%,8.7%,48,-4.0%,37.1%,60,1.7%,22.4%,98,10.1%,14.0%,97,16,8,95.8%,0.0%,-1.0%
,February 2021,"$2,659K",1.9%,3.5%,48,0.0%,71.4%,54,-10.0%,3.8%,89,-9.2%,-2.2%,103,6,4,96.3%,0.5%,0.0%
,March 2021,"$2,270K",-14.6%,1.2%,42,-12.5%,75.0%,57,5.6%,-10.9%,85,-4.5%,0.0%,115,12,-11,97.6%,1.3%,1.4%
,April 2021,"$2,737K",20.6%,-3.4%,55,31.0%,150.0%,60,5.3%,15.4%,85,0.0%,6.3%,103,-12,5,95.6%,-1.9%,3.2%
,May 2021,"$2,737K",0.0%,-2.3%,61,10.9%,221.1%,66,10.0%,17.9%,74,-12.9%,-16.9%,98,-5,8,95.7%,0.1%,5.0%
,June 2021,"$3,025K",10.5%,14.2%,63,3.3%,231.6%,80,21.2%,19.4%,83,12.2%,-14.4%,81,-17,9,95.1%,-0.6%,3.1%
,July 2021,"$2,775K",-8.3%,19.0%,59,-6.3%,118.5%,71,-11.3%,-12.3%,81,-2.4%,-12.9%,65,-17,-6,97.8%,2.7%,2.3%
,August 2021,"$2,797K",0.8%,19.4%,52,-11.9%,30.0%,69,-2.8%,-23.3%,72,-11.1%,-33.9%,54,-11,-7,99.5%,1.7%,3.9%
"Los Angeles, CA - Brentwood",January 2014,"$1,360K",-2.6%,-0.4%,95,-8.7%,-14.4%,90,-7.2%,-18.2%,76,0.0%,-14.6%,35,9,2,98.7%,-0.6%,1.4%
,February 2014,"$1,376K",1.2%,-8.1%,96,1.1%,-4.0%,104,15.6%,-19.4%,96,26.3%,-3.0%,35,-1,2,99.4%,0.7%,2.4%
,March 2014,"$1,195K",-13.1%,21.0%,72,-25.0%,-25.0%,167,60.6%,7.1%,119,24.0%,12.3%,30,-5,-4,100.0%,0.5%,1.2%
,April 2014,"$1,075K",-10.0%,-11.5%,81,12.5%,-32.5%,179,7.2%,-1.6%,115,-3.4%,0.9%,24,-6,-7,99.4%,-0.5%,-0.2%
,May 2014,"$1,113K",3.5%,0.9%,102,25.9%,-26.1%,196,9.5%,-3.4%,112,-2.6%,-5.1%,21,-4,-6,98.1%,-1.3%,-1.8%
,June 2014,"$1,430K",28.5%,-1.4%,130,27.5%,-15.0%,179,-8.7%,-8.2%,123,9.8%,10.8%,21,0,-6,97.9%,-0.2%,-2.5%
,July 2014,"$1,470K",2.8%,2.3%,132,1.5%,-16.5%,183,2.2%,7.6%,127,3.3%,15.5%,26,6,1,97.8%,-0.1%,-2.4%
,August 2014,"$1,270K",-13.6%,-10.9%,140,6.1%,-9.7%,170,-7.1%,16.4%,120,-5.5%,15.4%,26,0,1,98.3%,0.5%,-2.1%
,September 2014,"$1,105K",-13.0%,-14.5%,135,-3.6%,-2.9%,160,-5.9%,8.8%,128,6.7%,7.6%,28,2,7,98.0%,-0.4%,-2.0%
,October 2014,"$1,090K",-1.4%,-12.3%,144,6.7%,21.0%,161,0.6%,12.6%,121,-5.5%,0.8%,25,-3,4,98.8%,0.8%,-1.8%
,November 2014,"$1,290K",18.3%,-3.2%,126,-12.5%,34.0%,139,-13.7%,6.9%,98,-19.0%,-6.7%,28,3,4,98.9%,0.1%,-1.2%
,December 2014,"$1,695K",31.4%,21.4%,123,-2.4%,18.3%,111,-20.1%,14.4%,73,-25.5%,-3.9%,24,-4,-2,101.1%,2.2%,1.8%
,January 2015,"$1,558K",-8.1%,14.5%,108,-12.2%,13.7%,102,-8.1%,13.3%,87,19.2%,14.5%,29,5,-7,101.0%,-0.1%,2.3%
,February 2015,"$1,533K",-1.6%,11.4%,96,-11.1%,0.0%,114,11.8%,9.6%,87,0.0%,-9.4%,24,-5,-11,101.0%,0.0%,1.6%
,March 2015,"$1,095K",-28.6%,-8.4%,82,-14.6%,13.9%,157,37.7%,-6.0%,105,20.7%,-11.8%,28,4,-2,99.5%,-1.5%,-0.4%
,April 2015,"$1,421K",29.8%,32.2%,99,20.7%,22.2%,174,10.8%,-2.8%,116,10.5%,0.9%,20,-9,-5,100.9%,1.3%,1.5%
,May 2015,"$1,635K",15.1%,47.0%,119,20.2%,16.7%,194,11.5%,-1.0%,124,6.9%,10.7%,21,2,1,101.5%,0.6%,3.4%
,June 2015,"$1,625K",-0.6%,13.6%,145,21.8%,11.5%,196,1.0%,9.5%,134,8.1%,8.9%,20,-1,-1,101.7%,0.2%,3.7%
,July 2015,"$1,350K",-16.9%,-8.2%,149,2.8%,12.9%,171,-12.8%,-6.6%,124,-7.5%,-2.4%,20,0,-6,100.5%,-1.1%,2.7%
,August 2015,"$1,290K",-4.4%,1.6%,133,-10.7%,-5.0%,172,0.6%,1.2%,145,16.9%,20.8%,20,0,-6,100.3%,-0.2%,2.0%
,September 2015,"$1,070K",-17.1%,-3.2%,116,-12.8%,-14.1%,169,-1.7%,5.6%,150,3.4%,17.2%,37,17,9,99.6%,-0.8%,1.6%
,October 2015,"$1,090K",1.9%,0.0%,109,-6.0%,-24.3%,176,4.1%,9.3%,141,-6.0%,16.5%,36,-1,11,100.3%,0.7%,1.5%
,November 2015,"$1,215K",11.4%,-5.9%,116,6.4%,-7.9%,151,-14.2%,8.6%,127,-9.9%,29.6%,25,-11,-3,100.1%,-0.1%,1.3%
,December 2015,"$1,375K",13.2%,-18.9%,114,-1.7%,-7.3%,112,-25.8%,0.9%,98,-22.8%,34.2%,25,-1,1,99.9%,-0.3%,-1.2%
,January 2016,"$1,478K",7.5%,-5.1%,109,-4.4%,0.9%,119,6.3%,16.7%,117,19.4%,34.5%,34,9,5,98.7%,-1.2%,-2.3%
,February 2016,"$1,255K",-15.1%,-18.1%,106,-2.8%,10.4%,125,5.0%,9.6%,117,0.0%,34.5%,40,6,16,98.3%,-0.4%,-2.7%
,March 2016,"$1,386K",10.4%,26.6%,103,-2.8%,25.6%,157,25.6%,0.0%,114,-2.6%,8.6%,39,-1,11,99.7%,1.3%,0.1%
,April 2016,"$1,410K",1.7%,-0.8%,111,7.8%,12.1%,161,2.5%,-7.5%,116,1.8%,0.0%,36,-3,17,100.4%,0.8%,-0.4%
,May 2016,"$1,755K",24.5%,7.3%,130,17.1%,9.2%,162,0.6%,-16.5%,122,5.2%,-1.6%,32,-4,11,100.8%,0.4%,-0.7%
,June 2016,"$1,831K",4.3%,12.6%,138,6.2%,-4.8%,166,2.5%,-15.3%,129,5.7%,-3.7%,28,-5,8,100.3%,-0.5%,-1.4%
,July 2016,"$1,788K",-2.3%,32.4%,128,-7.2%,-14.1%,172,3.6%,0.6%,135,4.7%,8.9%,26,-2,6,100.0%,-0.3%,-0.5%
