Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,May 2019,$506K,-1.3%,-0.8%,153,-5.6%,-7.3%,213,7.6%,-8.2%,448,1.8%,28.7%,47,0,25,99.8%,0.7%,-1.7%
,June 2019,$552K,9.1%,3.6%,151,-1.3%,-21.4%,185,-13.1%,-11.5%,452,0.9%,22.2%,49,2,19,99.6%,-0.2%,-1.7%
,July 2019,$531K,-3.9%,1.0%,156,3.3%,-11.4%,182,-1.6%,-9.5%,413,-8.6%,9.5%,45,-4,9,99.3%,-0.3%,-1.4%
,August 2019,$540K,1.8%,4.9%,182,16.7%,0.6%,230,26.4%,1.3%,432,4.6%,7.7%,45,0,10,99.8%,0.5%,-1.2%
,September 2019,$529K,-2.0%,-1.1%,137,-24.7%,1.5%,184,-20.0%,-3.2%,415,-3.9%,-3.9%,49,4,20,99.6%,-0.2%,-0.7%
,October 2019,$492K,-7.0%,-7.6%,169,23.4%,12.7%,166,-9.8%,-12.6%,376,-9.4%,-11.7%,49,0,12,100.3%,0.6%,1.2%
,November 2019,$525K,6.7%,12.3%,131,-22.5%,21.3%,110,-33.7%,-20.9%,329,-12.5%,-19.4%,45,-4,9,100.2%,0.0%,0.7%
,December 2019,$567K,8.0%,15.2%,147,12.2%,10.5%,97,-11.8%,98.0%,259,-21.3%,-15.4%,56,11,5,99.5%,-0.7%,-0.2%
,January 2020,$488K,-13.9%,-2.4%,120,-18.4%,26.3%,148,52.6%,-20.9%,272,5.0%,-22.9%,59,3,16,99.8%,0.4%,0.7%
,February 2020,$540K,10.7%,9.3%,110,-8.3%,0.0%,153,3.4%,-0.6%,272,0.0%,-30.3%,46,-13,-6,100.3%,0.4%,0.5%
,March 2020,$538K,-0.4%,4.9%,121,10.0%,-1.6%,155,1.3%,-25.5%,275,1.1%,-35.7%,40,-6,-11,101.0%,0.7%,1.4%
,April 2020,$558K,3.7%,8.9%,98,-19.0%,-39.5%,95,-38.7%,-52.0%,276,0.4%,-37.3%,37,-3,-10,100.4%,-0.6%,1.3%
,May 2020,$543K,-2.8%,7.2%,58,-40.8%,-62.1%,146,53.7%,-31.5%,315,14.1%,-29.7%,43,6,-4,99.5%,-1.0%,-0.4%
,June 2020,$521K,-4.0%,-5.6%,122,110.3%,-19.2%,193,32.2%,4.3%,340,7.9%,-24.8%,44,1,-5,99.5%,0.0%,-0.1%
,July 2020,$559K,7.3%,5.4%,161,32.0%,3.2%,219,13.5%,20.3%,374,10.0%,-9.4%,35,-9,-10,100.5%,1.0%,1.2%
,August 2020,$543K,-3.0%,0.5%,174,8.1%,-4.4%,210,-4.1%,-8.7%,373,-0.3%,-13.7%,38,3,-7,100.5%,0.0%,0.6%
,September 2020,$585K,7.8%,10.6%,182,4.6%,32.8%,229,9.0%,24.5%,393,5.4%,-5.3%,39,1,-10,100.9%,0.5%,1.3%
,October 2020,$590K,0.9%,19.9%,173,-4.9%,2.4%,258,12.7%,55.4%,450,14.5%,19.7%,36,-3,-13,101.5%,0.6%,1.3%
,November 2020,$574K,-2.7%,9.4%,150,-13.3%,14.5%,166,-35.7%,50.9%,412,-8.4%,25.2%,42,6,-3,101.1%,-0.5%,0.9%
,December 2020,$560K,-2.5%,-1.2%,218,45.3%,48.3%,159,-4.2%,63.9%,342,-17.0%,32.0%,47,5,-9,100.7%,-0.4%,1.2%
,January 2021,$605K,8.0%,23.9%,154,-29.4%,28.3%,173,8.8%,16.9%,321,-6.1%,18.0%,43,-4,-16,101.3%,0.7%,1.5%
,February 2021,$600K,-0.8%,11.1%,161,4.5%,46.4%,206,19.1%,34.6%,332,3.4%,22.1%,40,-3,-6,101.0%,-0.3%,0.8%
,March 2021,$665K,10.8%,23.6%,202,25.5%,66.9%,232,12.6%,49.7%,319,-3.9%,16.0%,36,-4,-4,102.3%,1.3%,1.3%
,April 2021,$640K,-3.8%,14.7%,225,11.4%,129.6%,223,-3.9%,134.7%,308,-3.4%,11.6%,34,-2,-3,103.3%,0.9%,2.9%
,May 2021,$665K,3.9%,22.6%,179,-20.4%,208.6%,202,-9.4%,38.4%,299,-2.9%,-5.1%,35,1,-8,103.2%,0.0%,3.8%
,June 2021,$656K,-1.4%,25.8%,215,20.1%,76.2%,236,16.8%,22.3%,291,-2.7%,-14.4%,33,-2,-11,103.4%,0.1%,3.9%
,July 2021,$695K,6.0%,24.3%,187,-13.0%,16.1%,233,-1.3%,6.4%,318,9.3%,-15.0%,28,-5,-7,104.3%,0.9%,3.8%
,August 2021,$656K,-5.6%,20.9%,180,-3.7%,3.4%,217,-6.9%,3.3%,312,-1.9%,-16.4%,28,0,-10,103.9%,-0.4%,3.4%
"Los Angeles, CA - Bel Air",January 2015,"$1,200K",,,1,,,,,,,,,110,,,101.1%,,
,February 2015,"$1,200K",0.0%,,1,0.0%,,,,,,,,110,0,,101.1%,0.0%,
,March 2015,$818K,-31.8%,,3,200.0%,,,,,,,,110,0,,99.7%,-1.4%,
,April 2015,$700K,-14.4%,,2,-33.3%,,,,,,,,232,122,,98.9%,-0.7%,
,May 2015,$700K,0.0%,,2,0.0%,,,,,,,,232,0,,98.9%,0.0%,
,December 2015,$600K,,,1,,,,,,,,,48,,,96.0%,,
,January 2016,$600K,0.0%,-50.0%,1,0.0%,0.0%,,,,,,,48,0,-62,96.0%,0.0%,-5.1%
,February 2016,$600K,0.0%,-50.0%,1,0.0%,0.0%,1,,,1,,,48,0,-62,96.0%,0.0%,-5.1%
,June 2016,"$1,245K",,,1,,,1,,,1,,,34,,,95.8%,,
,July 2016,"$1,200K",-3.6%,,2,100.0%,,1,0.0%,,,,,25,-9,,96.1%,0.2%,
,August 2016,"$1,200K",0.0%,,2,0.0%,,,,,,,,25,0,,96.1%,0.0%,
,September 2016,"$1,140K",-5.0%,,2,0.0%,,,,,,,,70,45,,97.1%,1.0%,
,October 2016,"$1,125K",-1.3%,,1,-50.0%,,,,,,,,123,54,,97.9%,0.8%,
,November 2016,"$1,125K",0.0%,,1,0.0%,,1,,,1,,,123,0,,97.9%,0.0%,
,July 2017,"$1,150K",,-4.2%,1,,-50.0%,,,,,,,252,,227,95.9%,,-0.2%
,August 2017,"$1,150K",0.0%,-4.2%,1,0.0%,-50.0%,,,,,,,252,0,227,95.9%,0.0%,-0.2%
,September 2017,"$1,150K",0.0%,0.9%,1,0.0%,-50.0%,1,,,1,,,252,0,183,95.9%,0.0%,-1.2%
,June 2018,"$1,202K",,,1,,,1,,,1,,,21,,,100.2%,,
,July 2018,"$1,202K",0.0%,4.5%,1,0.0%,0.0%,,,,1,0.0%,,21,0,-231,100.2%,0.0%,4.3%
,August 2018,"$1,202K",0.0%,4.5%,1,0.0%,0.0%,1,,,1,0.0%,,21,0,-231,100.2%,0.0%,4.3%
,September 2018,$910K,-24.3%,-20.9%,1,0.0%,0.0%,1,0.0%,0.0%,,,,13,-8,-239,103.5%,3.3%,7.6%
,October 2018,$910K,0.0%,,1,0.0%,,1,0.0%,,,,,13,0,,103.5%,0.0%,
,November 2018,$910K,0.0%,,1,0.0%,,1,0.0%,,1,,,13,0,,103.5%,0.0%,
,March 2019,"$1,118K",,,1,,,,,,,,,129,,,95.1%,,
,April 2019,"$1,118K",0.0%,,1,0.0%,,,,,,,,129,0,,95.1%,0.0%,
,May 2019,"$1,118K",0.0%,,1,0.0%,,,,,,,,129,0,,95.1%,0.0%,
,August 2019,"$1,180K",,-1.8%,1,,0.0%,1,,0.0%,,,,26,,5,103.1%,,2.8%
,September 2019,"$1,180K",0.0%,29.7%,1,0.0%,0.0%,1,0.0%,0.0%,,,,26,0,13,103.1%,0.0%,-0.5%
,October 2019,"$1,180K",0.0%,29.7%,1,0.0%,0.0%,,,,,,,26,0,13,103.1%,0.0%,-0.5%
,November 2019,"$1,100K",-6.8%,20.9%,1,0.0%,0.0%,,,,,,,803,777,790,96.1%,-7.0%,-7.5%
,December 2019,"$1,100K",0.0%,,1,0.0%,,,,,,,,803,0,,96.1%,0.0%,
,January 2020,"$1,100K",0.0%,,1,0.0%,,,,,,,,803,0,,96.1%,0.0%,
,October 2020,"$1,265K",,7.2%,1,,0.0%,2,,,1,,,47,,21,101.3%,,-1.8%
,November 2020,"$1,265K",0.0%,15.0%,1,0.0%,0.0%,,,,1,0.0%,,47,0,-756,101.3%,0.0%,5.2%
,December 2020,"$1,265K",0.0%,15.0%,1,0.0%,0.0%,,,,,,,47,0,-756,101.3%,0.0%,5.2%
,January 2021,"$1,180K",-6.7%,7.3%,1,0.0%,0.0%,,,,,,,144,97,-659,100.1%,-1.2%,4.0%
,February 2021,"$1,180K",0.0%,,1,0.0%,,1,,,1,,,144,0,,100.1%,0.0%,
,March 2021,"$1,180K",0.0%,,1,0.0%,,1,0.0%,,1,0.0%,,144,0,,100.1%,0.0%,
,June 2021,$915K,,,1,,,1,,,,,,122,,,101.8%,,
,July 2021,"$1,321K",44.3%,,2,100.0%,,1,0.0%,,,,,71,-52,,102.4%,0.6%,
,August 2021,"$1,321K",0.0%,,2,0.0%,,1,0.0%,,,,,71,0,,102.4%,0.0%,
"Los Angeles, CA - Brentwood",January 2014,"$1,443K",61.2%,84.9%,2,-66.7%,-33.3%,2,-50.0%,-50.0%,2,-33.3%,100.0%,140,108,46,91.0%,-9.8%,-6.6%
,February 2014,"$1,190K",-17.5%,36.0%,3,50.0%,50.0%,4,100.0%,-63.6%,4,100.0%,-33.3%,91,-49,40,92.4%,1.4%,-6.2%
,March 2014,"$1,190K",0.0%,153.7%,3,0.0%,50.0%,9,125.0%,-18.2%,6,50.0%,50.0%,91,0,59,92.4%,0.0%,-5.2%
,April 2014,"$1,018K",-14.5%,-46.4%,2,-33.3%,-71.4%,11,22.2%,-26.7%,5,-16.7%,-28.6%,41,-50,29,100.7%,8.3%,1.2%
,May 2014,$833K,-18.2%,-56.2%,4,100.0%,-50.0%,13,18.2%,0.0%,8,60.0%,-11.1%,9,-32,-2,102.2%,1.5%,2.6%
,June 2014,$750K,-9.9%,-60.5%,7,75.0%,-12.5%,11,-15.4%,-31.3%,7,-12.5%,-22.2%,10,1,-1,102.1%,-0.1%,1.2%
,July 2014,$745K,-0.7%,-6.3%,8,14.3%,14.3%,10,-9.1%,-28.6%,7,0.0%,-36.4%,22,12,-8,100.9%,-1.2%,-0.1%
,August 2014,$758K,1.7%,-5.0%,6,-25.0%,-40.0%,8,-20.0%,-38.5%,6,-14.3%,-33.3%,50,29,14,100.1%,-0.8%,-0.1%
,September 2014,$875K,15.4%,9.3%,4,-33.3%,-63.6%,9,12.5%,-10.0%,9,50.0%,80.0%,69,19,29,98.2%,-1.8%,-1.3%
,October 2014,$890K,1.8%,-2.2%,5,25.0%,-61.5%,10,11.1%,0.0%,4,-55.6%,-42.9%,14,-55,-26,99.9%,1.7%,0.0%
,November 2014,$900K,1.1%,-1.1%,7,40.0%,-22.2%,10,0.0%,66.7%,4,0.0%,-33.3%,28,14,-6,98.8%,-1.0%,-1.6%
,December 2014,$900K,0.0%,0.6%,7,0.0%,16.7%,7,-30.0%,75.0%,4,0.0%,33.3%,28,0,-4,99.1%,0.3%,-1.7%
,January 2015,"$1,345K",49.4%,-6.8%,5,-28.6%,150.0%,7,0.0%,250.0%,3,-25.0%,50.0%,77,49,-63,96.9%,-2.2%,5.9%
,February 2015,$727K,-45.9%,-38.9%,4,-20.0%,33.3%,5,-28.6%,25.0%,3,0.0%,-25.0%,84,7,-7,98.4%,1.5%,6.0%
,March 2015,$729K,0.2%,-38.8%,5,25.0%,66.7%,5,0.0%,-44.4%,4,33.3%,-33.3%,71,-13,-20,97.5%,-0.9%,5.1%
,April 2015,$742K,1.8%,-27.1%,4,-20.0%,100.0%,5,0.0%,-54.5%,5,25.0%,0.0%,45,-26,4,97.9%,0.3%,-2.8%
,May 2015,$729K,-1.8%,-12.5%,3,-25.0%,-25.0%,10,100.0%,-23.1%,8,60.0%,0.0%,21,-24,12,96.9%,-0.9%,-5.2%
,June 2015,"$1,100K",51.0%,46.7%,6,100.0%,-14.3%,13,30.0%,18.2%,9,12.5%,28.6%,20,-1,10,98.8%,1.9%,-3.2%
,July 2015,"$1,330K",20.9%,78.5%,7,16.7%,-12.5%,12,-7.7%,20.0%,10,11.1%,42.9%,20,0,-2,98.6%,-0.2%,-2.3%
,August 2015,"$1,330K",0.0%,75.6%,7,0.0%,16.7%,12,0.0%,50.0%,11,10.0%,83.3%,20,0,-30,99.2%,0.6%,-0.9%
,September 2015,$870K,-34.6%,-0.5%,6,-14.3%,50.0%,12,0.0%,33.3%,14,27.3%,55.6%,13,-8,-57,101.2%,2.1%,3.0%
,October 2015,$865K,-0.6%,-2.8%,5,-16.7%,0.0%,14,16.7%,40.0%,16,14.3%,300.0%,11,-2,-3,102.0%,0.8%,2.2%
,November 2015,$823K,-4.9%,-8.6%,4,-20.0%,-42.9%,9,-35.7%,-10.0%,8,-50.0%,100.0%,13,2,-16,102.4%,0.3%,3.5%
,December 2015,"$1,302K",58.2%,44.6%,4,0.0%,-42.9%,6,-33.3%,-14.3%,3,-62.5%,-25.0%,55,42,27,98.9%,-3.4%,-0.2%
,January 2016,"$1,213K",-6.8%,-9.9%,8,100.0%,60.0%,4,-33.3%,-42.9%,4,33.3%,33.3%,54,-1,-24,98.3%,-0.7%,1.4%
,February 2016,"$1,213K",0.0%,66.8%,10,25.0%,150.0%,4,0.0%,-20.0%,3,-25.0%,0.0%,63,10,-21,98.0%,-0.3%,-0.4%
,March 2016,"$1,235K",1.9%,69.5%,7,-30.0%,40.0%,4,0.0%,-20.0%,2,-33.3%,-50.0%,54,-9,-17,97.8%,-0.2%,0.3%
,April 2016,$877K,-29.0%,18.2%,7,0.0%,75.0%,6,50.0%,20.0%,1,-50.0%,-80.0%,39,-15,-6,98.6%,0.8%,0.8%
,May 2016,"$1,010K",15.2%,38.6%,7,0.0%,133.3%,7,16.7%,-30.0%,2,100.0%,-75.0%,29,-10,8,99.6%,1.0%,2.7%
,June 2016,"$1,010K",0.0%,-8.2%,9,28.6%,50.0%,9,28.6%,-30.8%,3,50.0%,-66.7%,10,-19,-10,99.9%,0.3%,1.1%
,July 2016,"$1,035K",2.5%,-22.2%,7,-22.2%,0.0%,6,-33.3%,-50.0%,3,0.0%,-70.0%,10,0,-10,101.5%,1.6%,2.9%
,August 2016,"$1,118K",8.0%,-16.0%,6,-14.3%,-14.3%,4,-33.3%,-66.7%,1,-66.7%,-90.9%,9,-2,-12,100.4%,-1.1%,1.3%
,September 2016,"$1,070K",-4.3%,23.0%,4,-33.3%,-33.3%,4,0.0%,-66.7%,4,300.0%,-71.4%,23,14,10,99.1%,-1.3%,-2.1%
,October 2016,"$1,178K",10.0%,36.1%,2,-50.0%,-60.0%,5,25.0%,-64.3%,4,0.0%,-75.0%,62,40,51,94.3%,-4.8%,-7.7%
,November 2016,"$1,515K",28.7%,84.2%,2,0.0%,-50.0%,7,40.0%,-22.2%,6,50.0%,-25.0%,24,-38,12,96.3%,1.9%,-6.1%
,December 2016,"$1,925K",27.1%,47.9%,1,-50.0%,-75.0%,4,-42.9%,-33.3%,4,-33.3%,33.3%,14,-10,-41,96.5%,0.2%,-2.4%
,January 2017,"$1,350K",-29.9%,11.3%,3,200.0%,-62.5%,2,-50.0%,-50.0%,3,-25.0%,-25.0%,22,8,-32,97.8%,1.3%,-0.5%
,February 2017,"$1,350K",0.0%,11.3%,3,0.0%,-70.0%,3,50.0%,-25.0%,4,33.3%,33.3%,22,0,-41,101.3%,3.5%,3.3%
,March 2017,"$1,478K",9.4%,19.6%,4,33.3%,-42.9%,6,100.0%,50.0%,5,25.0%,150.0%,14,-8,-40,100.5%,-0.8%,2.7%
,April 2017,"$1,605K",8.6%,83.0%,3,-25.0%,-57.1%,7,16.7%,16.7%,5,0.0%,400.0%,6,-8,-33,101.2%,0.7%,2.6%
,May 2017,$985K,-38.6%,-2.5%,5,66.7%,-28.6%,7,0.0%,0.0%,4,-20.0%,100.0%,19,13,-10,101.3%,0.1%,1.7%
,June 2017,$860K,-12.7%,-14.9%,5,0.0%,-44.4%,6,-14.3%,-33.3%,5,25.0%,66.7%,23,4,13,101.4%,0.0%,1.5%
,July 2017,$860K,0.0%,-16.9%,7,40.0%,0.0%,8,33.3%,33.3%,4,-20.0%,33.3%,20,-3,10,102.0%,0.7%,0.5%
,August 2017,$950K,10.5%,-15.0%,7,0.0%,16.7%,6,-25.0%,50.0%,3,-25.0%,200.0%,20,0,12,101.7%,-0.4%,1.2%
,September 2017,$954K,0.4%,-10.9%,8,14.3%,100.0%,4,-33.3%,0.0%,1,-66.7%,-75.0%,19,-2,-4,101.0%,-0.6%,1.9%
,October 2017,$958K,0.4%,-18.7%,5,-37.5%,150.0%,2,-50.0%,-60.0%,1,0.0%,-75.0%,14,-5,-48,100.5%,-0.6%,6.1%
,November 2017,$893K,-6.7%,-41.1%,3,-40.0%,50.0%,1,-50.0%,-85.7%,1,0.0%,-83.3%,78,64,54,98.0%,-2.5%,1.7%
,December 2017,$768K,-14.1%,-60.1%,2,-33.3%,100.0%,2,100.0%,-50.0%,1,0.0%,-75.0%,249,171,235,98.4%,0.5%,2.0%
,January 2018,$768K,0.0%,-43.1%,2,0.0%,-33.3%,1,-50.0%,-50.0%,1,0.0%,-66.7%,249,0,227,98.4%,0.0%,0.7%
,February 2018,$735K,-4.2%,-45.6%,1,-50.0%,-66.7%,2,100.0%,-33.3%,1,0.0%,-75.0%,57,-192,35,98.1%,-0.3%,-3.1%
,March 2018,$727K,-1.1%,-50.8%,1,0.0%,-75.0%,1,-50.0%,-83.3%,,,,12,-45,-2,104.6%,6.5%,4.1%
,April 2018,$727K,0.0%,-54.7%,1,0.0%,-66.7%,2,100.0%,-71.4%,,,,12,0,6,104.6%,0.0%,3.4%
,May 2018,$854K,17.4%,-13.4%,2,100.0%,-60.0%,2,0.0%,-71.4%,,,,12,0,-7,106.8%,2.2%,5.5%
,June 2018,$954K,11.7%,10.9%,2,0.0%,-60.0%,5,150.0%,-16.7%,2,,-60.0%,14,2,-10,112.5%,5.7%,11.2%
,July 2018,$954K,0.0%,10.9%,4,100.0%,-42.9%,6,20.0%,-25.0%,3,50.0%,-25.0%,14,0,-7,106.8%,-5.7%,4.8%
,August 2018,$928K,-2.8%,-2.4%,3,-25.0%,-57.1%,6,0.0%,0.0%,2,-33.3%,-33.3%,15,2,-5,106.1%,-0.7%,4.5%
,September 2018,"$1,199K",29.3%,25.7%,4,33.3%,-50.0%,4,-33.3%,0.0%,3,50.0%,200.0%,15,-1,-4,102.1%,-4.0%,1.1%
,October 2018,"$1,357K",13.1%,41.7%,2,-50.0%,-60.0%,3,-25.0%,50.0%,3,0.0%,200.0%,41,27,27,103.2%,1.0%,2.7%
,November 2018,"$1,357K",0.0%,51.9%,2,0.0%,-33.3%,4,33.3%,300.0%,4,33.3%,300.0%,41,0,-37,103.2%,0.0%,5.2%
,December 2018,$819K,-39.6%,6.7%,1,-50.0%,-50.0%,3,-25.0%,50.0%,3,-25.0%,200.0%,29,-12,-220,96.5%,-6.7%,-2.0%
,January 2019,"$1,185K",44.6%,54.3%,2,100.0%,0.0%,4,33.3%,300.0%,5,66.7%,400.0%,36,7,-213,96.8%,0.4%,-1.6%
,February 2019,"$1,185K",0.0%,61.2%,2,0.0%,100.0%,3,-25.0%,50.0%,6,20.0%,500.0%,36,0,-21,96.8%,0.0%,-1.3%
,March 2019,"$1,550K",30.9%,113.2%,1,-50.0%,0.0%,3,0.0%,200.0%,4,-33.3%,,43,7,31,97.2%,0.4%,-7.4%
,April 2019,$859K,-44.6%,18.2%,2,100.0%,100.0%,4,33.3%,100.0%,4,0.0%,,61,18,49,100.0%,2.8%,-4.6%
,May 2019,$894K,4.1%,4.7%,4,100.0%,100.0%,7,75.0%,250.0%,6,50.0%,,61,0,49,98.4%,-1.6%,-8.4%
,June 2019,$824K,-7.8%,-13.6%,6,50.0%,200.0%,8,14.3%,60.0%,5,-16.7%,150.0%,35,-27,21,99.1%,0.8%,-13.4%
,July 2019,$859K,4.2%,-9.9%,5,-16.7%,25.0%,5,-37.5%,-16.7%,4,-20.0%,33.3%,22,-13,9,98.8%,-0.4%,-8.1%
,August 2019,$780K,-9.2%,-15.9%,3,-40.0%,0.0%,2,-60.0%,-66.7%,4,0.0%,100.0%,22,0,7,100.1%,1.4%,-6.0%
,September 2019,"$1,975K",153.2%,64.7%,3,0.0%,-25.0%,4,100.0%,0.0%,3,-25.0%,0.0%,240,218,226,97.1%,-3.0%,-5.0%
,October 2019,"$1,297K",-34.3%,-4.4%,3,0.0%,50.0%,5,25.0%,66.7%,3,0.0%,0.0%,166,-74,125,96.8%,-0.3%,-6.4%
,November 2019,"$1,297K",0.0%,-4.4%,3,0.0%,50.0%,4,-20.0%,0.0%,2,-33.3%,-50.0%,166,0,125,96.8%,0.0%,-6.4%
,December 2019,"$1,124K",-13.4%,37.2%,2,-33.3%,100.0%,1,-75.0%,-66.7%,1,-50.0%,-66.7%,34,-132,5,97.9%,1.2%,1.5%
,January 2020,"$1,153K",2.6%,-2.7%,2,0.0%,0.0%,4,300.0%,0.0%,5,400.0%,0.0%,73,39,37,96.2%,-1.7%,-0.6%
,February 2020,"$1,135K",-1.5%,-4.2%,3,50.0%,50.0%,7,75.0%,133.3%,7,40.0%,16.7%,44,-29,8,97.1%,0.9%,0.2%
,March 2020,"$1,183K",4.2%,-23.7%,2,-33.3%,100.0%,9,28.6%,200.0%,6,-14.3%,50.0%,80,36,37,96.7%,-0.4%,-0.5%
,April 2020,"$1,135K",-4.0%,32.1%,3,50.0%,50.0%,5,-44.4%,25.0%,3,-50.0%,-25.0%,44,-36,-17,100.2%,3.5%,0.2%
,May 2020,"$1,135K",0.0%,27.0%,5,66.7%,25.0%,4,-20.0%,-42.9%,5,66.7%,-16.7%,19,-25,-42,101.4%,1.3%,3.1%
,June 2020,"$1,250K",10.1%,51.7%,7,40.0%,16.7%,5,25.0%,-37.5%,6,20.0%,20.0%,19,0,-16,100.8%,-0.7%,1.6%
,July 2020,"$1,250K",0.0%,45.5%,5,-28.6%,0.0%,8,60.0%,60.0%,8,33.3%,100.0%,18,-1,-4,100.7%,0.0%,2.0%
,August 2020,"$1,407K",12.6%,80.4%,2,-60.0%,-33.3%,10,25.0%,400.0%,10,25.0%,150.0%,21,3,-2,99.0%,-1.7%,-1.1%
,September 2020,"$1,345K",-4.4%,-31.9%,1,-50.0%,-66.7%,10,0.0%,150.0%,10,0.0%,233.3%,36,16,-204,103.5%,4.5%,6.4%
,October 2020,$890K,-33.8%,-31.4%,3,200.0%,0.0%,11,10.0%,120.0%,10,0.0%,233.3%,36,0,-130,100.4%,-3.1%,3.7%
,November 2020,$933K,4.9%,-28.0%,8,166.7%,166.7%,10,-9.1%,150.0%,10,0.0%,400.0%,42,6,-125,99.9%,-0.5%,3.1%
,December 2020,$897K,-3.9%,-20.2%,11,37.5%,450.0%,10,0.0%,900.0%,7,-30.0%,600.0%,56,15,22,98.0%,-1.9%,0.0%
,January 2021,$908K,1.3%,-21.2%,10,-9.1%,400.0%,8,-20.0%,100.0%,7,0.0%,40.0%,67,11,-6,98.3%,0.3%,2.1%
,February 2021,$970K,6.8%,-14.6%,8,-20.0%,166.7%,7,-12.5%,0.0%,6,-14.3%,-14.3%,67,0,23,97.6%,-0.7%,0.5%
,March 2021,"$1,085K",11.9%,-8.2%,7,-12.5%,250.0%,4,-42.9%,-55.6%,3,-50.0%,-50.0%,92,26,12,99.3%,1.7%,2.6%
,April 2021,"$1,128K",3.9%,-0.7%,8,14.3%,166.7%,4,0.0%,-20.0%,3,0.0%,0.0%,80,-12,36,98.3%,-1.0%,-1.8%
,May 2021,"$1,349K",19.6%,18.8%,6,-25.0%,20.0%,4,0.0%,0.0%,3,0.0%,-40.0%,89,9,70,100.1%,1.8%,-1.3%
,June 2021,"$1,404K",4.1%,12.3%,6,0.0%,-14.3%,6,50.0%,20.0%,3,0.0%,-50.0%,45,-44,26,100.9%,0.8%,0.2%
,July 2021,"$1,724K",22.8%,37.9%,6,0.0%,20.0%,6,0.0%,-25.0%,3,0.0%,-62.5%,41,-4,23,101.2%,0.2%,0.4%
,August 2021,"$1,775K",3.0%,26.2%,5,-16.7%,150.0%,6,0.0%,-40.0%,3,0.0%,-70.0%,44,3,24,99.5%,-1.7%,0.4%
"Los Angeles, CA - Century City",February 2014,"$1,073K",,,2,,,4,,,5,,,8,,,99.1%,,
,March 2014,$850K,-20.7%,,3,50.0%,,3,-25.0%,,5,0.0%,,28,20,,97.0%,-2.1%,
,April 2014,$850K,0.0%,-12.3%,3,0.0%,50.0%,1,-66.7%,0.0%,5,0.0%,400.0%,28,0,-69,97.0%,0.0%,-2.3%
,May 2014,$889K,4.6%,-8.3%,3,0.0%,50.0%,4,300.0%,33.3%,7,40.0%,250.0%,94,67,-2,97.7%,0.7%,-1.6%
,June 2014,$917K,3.2%,17.6%,2,-33.3%,-33.3%,5,25.0%,150.0%,6,-14.3%,500.0%,95,1,18,100.1%,2.5%,-0.6%
,July 2014,$945K,3.1%,73.4%,3,50.0%,200.0%,4,-20.0%,100.0%,5,-16.7%,400.0%,94,-1,75,98.1%,-2.0%,-5.7%
,August 2014,"$1,175K",24.3%,115.6%,1,-66.7%,0.0%,1,-75.0%,,4,-20.0%,,27,-67,8,94.0%,-4.1%,-9.8%
,September 2014,"$1,175K",0.0%,,1,0.0%,,,,,4,0.0%,,27,0,,94.0%,0.0%,
,November 2014,"$1,015K",,,1,,,3,,,3,,,149,,,96.7%,,
,December 2014,"$1,015K",0.0%,,1,0.0%,,4,33.3%,,4,33.3%,,149,0,,96.7%,0.0%,
,January 2015,"$1,015K",0.0%,,1,0.0%,,4,0.0%,,5,25.0%,,149,0,,96.7%,0.0%,
,April 2015,"$1,000K",,17.6%,1,,-66.7%,5,,400.0%,8,,60.0%,106,,79,90.9%,,-6.1%
,May 2015,"$1,300K",30.0%,46.3%,2,100.0%,-33.3%,6,20.0%,50.0%,7,-12.5%,0.0%,113,7,19,93.2%,2.3%,-4.4%
,June 2015,$990K,-23.8%,8.0%,4,100.0%,100.0%,6,0.0%,20.0%,7,0.0%,16.7%,88,-25,-7,96.3%,3.1%,-3.8%
,July 2015,$980K,-1.0%,3.7%,3,-25.0%,0.0%,5,-16.7%,25.0%,9,28.6%,80.0%,70,-18,-24,98.1%,1.8%,0.0%
,August 2015,$908K,-7.4%,-22.8%,4,33.3%,300.0%,4,-20.0%,300.0%,9,0.0%,125.0%,86,16,59,99.2%,1.1%,5.2%
,September 2015,$951K,4.8%,-19.1%,2,-50.0%,100.0%,3,-25.0%,,9,0.0%,125.0%,128,42,101,98.9%,-0.2%,4.9%
,October 2015,$951K,0.0%,,2,0.0%,,4,33.3%,,8,-11.1%,,128,0,,98.9%,0.0%,
,November 2015,$798K,-16.1%,-21.4%,2,0.0%,100.0%,4,0.0%,33.3%,5,-37.5%,66.7%,50,-79,-100,96.1%,-2.8%,-0.6%
,December 2015,$833K,4.4%,-18.0%,4,100.0%,300.0%,4,0.0%,0.0%,5,0.0%,25.0%,32,-18,-118,97.7%,1.6%,1.1%
,January 2016,$833K,0.0%,-18.0%,4,0.0%,300.0%,2,-50.0%,-50.0%,4,-20.0%,-20.0%,32,0,-118,97.7%,0.0%,1.1%
,February 2016,"$1,600K",92.2%,,4,0.0%,,3,50.0%,,5,25.0%,,77,46,,108.3%,10.5%,
,March 2016,"$1,850K",15.6%,,3,-25.0%,,4,33.3%,,7,40.0%,,112,35,,107.1%,-1.2%,
